accession_id,org_name,geo_location,biosample_id,bioproject_id
BS007845,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738321,PRJDB17046
BS007846,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Osaka,SAMD00738322,PRJDB17046
BS007847,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738323,PRJDB17046
BS007849,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738325,PRJDB17046
BS007850,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738326,PRJDB17046
BS007851,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738327,PRJDB17046
BS007852,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738328,PRJDB17046
BS007853,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738329,PRJDB17046
BS007854,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738330,PRJDB17046
BS007855,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738331,PRJDB17046
BS007856,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738332,PRJDB17046
BS007857,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738333,PRJDB17046
BS007858,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738334,PRJDB17046
BS007859,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738335,PRJDB17046
BS007860,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738336,PRJDB17046
BS007861,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738337,PRJDB17046
BS007862,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738338,PRJDB17046
BS007863,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738339,PRJDB17046
BS007864,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738340,PRJDB17046
BS007865,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738341,PRJDB17046
BS007866,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738342,PRJDB17046
BS007867,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738343,PRJDB17046
BS007868,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738344,PRJDB17046
BS007869,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738345,PRJDB17046
BS007870,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738346,PRJDB17046
BS007871,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738347,PRJDB17046
BS007872,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738348,PRJDB17046
BS007873,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738349,PRJDB17046
BS007874,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738350,PRJDB17046
BS007875,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738351,PRJDB17046
BS007876,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738352,PRJDB17046
BS007877,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738353,PRJDB17046
BS007878,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738354,PRJDB17046
BS007879,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738355,PRJDB17046
BS007880,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738356,PRJDB17046
BS007881,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738357,PRJDB17046
BS007882,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738358,PRJDB17046
BS007883,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Tokyo,SAMD00738359,PRJDB17046
BS007884,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738360,PRJDB17046
BS007885,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738361,PRJDB17046
BS007886,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738362,PRJDB17046
BS007887,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738363,PRJDB17046
BS007888,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738364,PRJDB17046
BS007889,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Osaka,SAMD00738365,PRJDB17046
BS007890,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738366,PRJDB17046
BS007891,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738367,PRJDB17046
BS007892,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Hokkaido,SAMD00738368,PRJDB17046
BS007893,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan:Osaka,SAMD00738369,PRJDB17046
