accession_id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
OL984118	AY.120.1	20210101	USA		Homo sapiens	2697049		Delta
OU250845	AY.111	20210412	United Kingdom	COVID-19 Genomics UK Consortium	Homo sapiens	2697049		Delta
OU398707	AY.120.2.1	20210618	Germany	Robert Koch Institute	Homo sapiens	2697049		Delta
OK549902	B.1.617.2	20210719	USA	The Scripps Research Institute	Homo sapiens	2697049		Delta
OV824793	AY.122.3	20211020	Denmark	Statens Serum Institut and the Danish Covid19 Genome Consortium (DCGC)	Homo sapiens	2697049		Delta
MZ411792	B.1.617.2	20210601	USA		Homo sapiens	2697049		Delta
OV110054	AY.122	20200911	Germany	Robert Koch Institute	Homo sapiens	2697049		Delta
MZ590833	AY.116.1	20210628	USA	CDC-OAMD	Homo sapiens	2697049		Delta
MZ713400	AY.112	20210520	India		Homo sapiens	2697049		Delta
OL899499	AY.118	20210101	USA		Homo sapiens	2697049		Delta
OL413079	AY.121	20210111	USA		Homo sapiens	2697049		Delta
OV103966	AY.126	20210109	Slovakia	"Comenius University Science Park Laboratory of Genomics and Bioinformatics, Comenius University Science Park"	Homo sapiens	2697049		Delta
MZ538189	AY.105	20210608	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OU397295	AY.109	20210625	United Kingdom	COVID-19 Genomics UK Consortium	Homo sapiens	2697049		Delta
OU255596	AY.10	20210416	United Kingdom	COVID-19 Genomics UK Consortium	Homo sapiens	2697049		Delta
OK545384	AY.113	20210114	USA	FLDOH	Homo sapiens	2697049		Delta
MZ760175	AY.14	20210729	USA	CDC-OAMD	Homo sapiens	2697049		Delta
MZ411870	B.1.617.2	20210603	USA		Homo sapiens	2697049		Delta
MZ531230	AY.116	20210613	USA	CDC-OAMD	Homo sapiens	2697049		Delta
MZ976785	AY.108	20210709	Pakistan		Homo sapiens	2697049		Delta
OV229034	AY.123.1	20211118	United Kingdom	COVID-19 Genomics UK Consortium	Homo sapiens	2697049		Delta
MZ534955	AY.119.2	20210622	USA		Homo sapiens	2697049		Delta
MZ864108	AY.122.1	20210726	USA		Homo sapiens	2697049		Delta
MZ564461	AY.127	20210625	USA		Homo sapiens	2697049		Delta
