Accession,Organism_Name,Submitters,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Genotype,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
UQD48531,Severe acute respiratory syndrome coronavirus 2,"Levasseur,A.",2022-05-09,AY.98.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,IHUCOVID-053854-Nova1M,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,France,France,,Homo sapiens,,2021-12-13
UMO73941,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-03-04,BA.1.1.18,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-ASC210823514,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Florida,USA,FL,Homo sapiens,,2022-02-22
BDH42983,Severe acute respiratory syndrome coronavirus 2,"Tsuchiya,Y., Shijo,N., Mushu,T., Hikida,M., Komatsu,R., Sanae,A., Mori,H., Tanizawa,Y., Asano,S., Fujisawa,T., Arita,M., Kurokawa,K., Mitsunaga,S., Toyoda,A., Inoue,I.",2022-03-29,BC.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,SZ-NIG-4-C5295,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),38,,ORF10 protein,"Japan:Shizuoka, Hamamatsu",Japan,,Homo sapiens,"saliva, oronasopharynx",2022-03-03
USN62338,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-06-24,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,AZ-CDC-STM-7HG2BRKGD,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Arizona,USA,AZ,Homo sapiens,oronasopharynx,2022-06-07
UTU36240,Severe acute respiratory syndrome coronavirus 2,"Wang,D., Handley,S.A., Blatter,J., Jung,A., Febles,B.G., Mihindukulasuriya,K.A., Parikh,B.",2022-07-22,BA.5.5,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,WUSTL_001653_A1587,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA,USA,,Homo sapiens,oronasopharynx,2022-06
UJN88524,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-01-24,BA.1.1.18,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,GA-CDC-LC0464202,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),43,,ORF7b protein,USA: Georgia,USA,GA,Homo sapiens,oronasopharynx,2022-01-05
UUK12423,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.",2022-08-04,BF.10,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MI-CDC-STM-E7JJW9BS7,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),222,,membrane glycoprotein,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,2022-07-23
ULM50921,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.",2022-02-22,BA.1.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,FL-CDC-QDX33439905,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),275,,ORF3a protein,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-01-31
UFY57995,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-12-07,AY.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,MN-CDC-ASC210481382,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),121,,ORF7a protein,USA: Minnesota,USA,MN,Homo sapiens,,2021-11-16
UTE42175,Severe acute respiratory syndrome coronavirus 2,"Atkins,L.M., Johnson,A.N., Ware,G.L., Mijalis,A., Kamil,J.P., Carroll,J.L., Van Diest,M., Scott,R.S., Yurochko,A.D., Queen,K., Kevil,C.G., Vanchiere,J.A., Bocchini,J.A.",2022-07-08,BA.1.15,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,LA-EVTL13409,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),1270,,surface glycoprotein,"USA: Louisiana, Caddo parish",USA,LA,Homo sapiens,,2022-01-17
