Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject
BS007845,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00022,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29787,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-19,SAMD00738321,PRJDB17046
BS007846,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00024,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29804,GenBank,complete,,,,Japan:Osaka,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-25,SAMD00738322,PRJDB17046
BS007847,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00025,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-26,SAMD00738323,PRJDB17046
BS007849,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00032,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-26,SAMD00738325,PRJDB17046
BS007850,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00033,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-26,SAMD00738326,PRJDB17046
BS007851,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00034,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-26,SAMD00738327,PRJDB17046
BS007852,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00035,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-26,SAMD00738328,PRJDB17046
BS007853,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00037,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-27,SAMD00738329,PRJDB17046
BS007854,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00038,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-27,SAMD00738330,PRJDB17046
BS007855,Severe acute respiratory syndrome coronavirus 2,,"Ikeda,M., Kato,M., Kawanishi,Y., Kazuyama,Y., Kimura,M., Ohyanagi,H., Saito,T., Shiino,T., Sugiura,W., Takeuchi,J.S., Yoshida,S.","Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,2024-04-10,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,sb_ncgm_sars_cov_2_00039,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29758,GenBank,complete,,,,Japan:Hokkaido,Japan,,Homo sapiens,"saliva, oronasopharynx",2021-04-27,SAMD00738331,PRJDB17046
