Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject
PP380212,Severe acute respiratory syndrome coronavirus 2,,"Wang,Y., Yu,H., Zhang,T., Sun,Z., Yao,W., Zhang,W., Chen,Q., Zhong,Y., Huang,Q., Wang,M., Wang,H., Wu,B.","Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital",China,2024-04-29,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,S172-1588-289755,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29775,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-06-16,,
PP380215,Severe acute respiratory syndrome coronavirus 2,,"Wang,Y., Yu,H., Zhang,T., Sun,Z., Yao,W., Zhang,W., Chen,Q., Zhong,Y., Huang,Q., Wang,M., Wang,H., Wu,B.","Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital",China,2024-04-29,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,S163-1617-299212,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-06-21,,
PP380230,Severe acute respiratory syndrome coronavirus 2,,"Wang,Y., Yu,H., Zhang,T., Sun,Z., Yao,W., Zhang,W., Chen,Q., Zhong,Y., Huang,Q., Wang,M., Wang,H., Wu,B.","Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital",China,2024-04-29,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,S179-1843-327183,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29775,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-08-06,,
PP380231,Severe acute respiratory syndrome coronavirus 2,,"Wang,Y., Yu,H., Zhang,T., Sun,Z., Yao,W., Zhang,W., Chen,Q., Zhong,Y., Huang,Q., Wang,M., Wang,H., Wu,B.","Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital",China,2024-04-29,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,S180-1862-329322,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29775,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-08-07,,
PP380234,Severe acute respiratory syndrome coronavirus 2,,"Wang,Y., Yu,H., Zhang,T., Sun,Z., Yao,W., Zhang,W., Chen,Q., Zhong,Y., Huang,Q., Wang,M., Wang,H., Wu,B.","Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital",China,2024-04-29,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,S187-1900-334195,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29781,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-08-12,,
PP380238,Severe acute respiratory syndrome coronavirus 2,,"Wang,Y., Yu,H., Zhang,T., Sun,Z., Yao,W., Zhang,W., Chen,Q., Zhong,Y., Huang,Q., Wang,M., Wang,H., Wu,B.","Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital",China,2024-04-29,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,S197-2056-341191,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29775,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-08-20,,
PP380249,Severe acute respiratory syndrome coronavirus 2,,"Wang,Y., Yu,H., Zhang,T., Sun,Z., Yao,W., Zhang,W., Chen,Q., Zhong,Y., Huang,Q., Wang,M., Wang,H., Wu,B.","Zhejiang University of Traditional Chinese Medicine, Hangzhou Xixi Hospital",China,2024-04-29,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,S226-3496-434774,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29751,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-12-07,,
PP697298,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-19,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-000665,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29879,GenBank,complete,,,,"USA: Washington, King County",USA,WA,Homo sapiens,,2021-04-27,SAMN41012154,PRJNA749781
PP697433,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-19,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-000836,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29880,GenBank,complete,,,,"USA: Washington, King County",USA,WA,Homo sapiens,,2021-05-17,SAMN41012016,PRJNA749781
PP700764,Severe acute respiratory syndrome coronavirus 2,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A., Waterman,K.","Washington State Department of Health, Public Health Laboratories",USA,2024-04-19,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,true,WA-PHL-000932,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29816,GenBank,complete,,,,"USA: Washington, Lewis County",USA,WA,Homo sapiens,,2021-06-08,SAMN41019061,PRJNA749781
