Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
NC_045512,Severe acute respiratory syndrome coronavirus 2,"Wu,F., Zhao,S., Yu,B., Chen,Y.M., Wang,W., Song,Z.G., Hu,Y., Tao,Z.W., Tian,J.H., Pei,Y.Y., Yuan,M.L., Zhang,Y.L., Dai,F.H., Liu,Y., Wang,Q.M., Zheng,J.J., Xu,L., Holmes,E.C., Zhang,Y.Z., Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Chen,Y.-M., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Zhang,Y.-L., Dai,F.-H., Wang,Q.-M., Zheng,J.-J., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,12/##/2019,B.1,,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29903,GenBank,complete,,China,China,,Homo sapiens,,
OD973716,Severe acute respiratory syndrome coronavirus 2,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,5/3/2021,B.1.177,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29902,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/30/2021
OV086211,Severe acute respiratory syndrome coronavirus 2,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,11/26/2021,AY.4.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29890,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,10/25/2021
OM092102,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,1/2/2022,AY.103,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDC-FG-213591,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29845,GenBank,complete,,USA: California,USA,CA,Homo sapiens,oronasopharynx,12/21/2021
ON928164,Severe acute respiratory syndrome coronavirus 2,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.","Centers for Disease Control and Prevention, Biotechnology Core Facility Branch",USA,7/6/2022,BA.2.12.1,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,MN-CDC-2-6133676,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29796,GenBank,complete,,USA: MN,USA,MN,Homo sapiens,,6/6/2022
OD964402,Severe acute respiratory syndrome coronavirus 2,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,5/2/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29884,GenBank,complete,,United Kingdom:England,United Kingdom,,Homo sapiens,,1/29/2021
MZ233942,Severe acute respiratory syndrome coronavirus 2,"DeRonde,S., House,E., Zidek,J., Redlinger,M., Smith,L., Chen,J.","Alaska State Public Health Labs, Alaska State Virology Lab",USA,5/19/2021,B.1.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,AK-PHL7273,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29836,GenBank,complete,,"USA: Alaska, Interior",USA,AK,Homo sapiens,,2/22/2021
ON683259,Severe acute respiratory syndrome coronavirus 2,"Blankenship,H., Riner,D., Soehnlen,M.","Michigan Department of Health and Human Services, Bureau of Laboratories",USA,6/6/2022,BA.2.3,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,MI-MDHHS-SC40967,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29473,GenBank,complete,,USA: Michigan,USA,MI,Homo sapiens,swab,5/13/2022
OK131148,Severe acute respiratory syndrome coronavirus 2,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,9/14/2021,B.1.617.2,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,FL-CDC-LC0225510,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29740,GenBank,complete,,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,8/24/2021
OP443978,Severe acute respiratory syndrome coronavirus 2,"Smith,E.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,9/15/2022,AY.122,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,TRUE,CA-CDPH-1002012047,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29817,GenBank,complete,,USA,USA,,Homo sapiens,,10/22/2021
MZ451658,Severe acute respiratory syndrome coronavirus 2,"Moates,D., Hendrickson,R.C., Lefkowitz,E.J., Leal,S.M.","UAB, Pathology",USA,6/25/2021,B.1.1.7,4.3.1/1.26/v0.1.12/0.3.19/0.6.2,,AL-UAB-GX79,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29781,GenBank,complete,,"USA: Prattville, AL",USA,AL,Homo sapiens,,3/1/2021
