BS007845,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738321,PRJDB17046,GenBank
BS007846,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738322,PRJDB17046,GenBank
BS007847,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738323,PRJDB17046,GenBank
BS007849,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738325,PRJDB17046,GenBank
BS007850,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738326,PRJDB17046,GenBank
BS007851,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738327,PRJDB17046,GenBank
BS007852,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738328,PRJDB17046,GenBank
BS007853,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738329,PRJDB17046,GenBank
BS007854,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738330,PRJDB17046,GenBank
BS007855,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738331,PRJDB17046,GenBank
BS007856,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738332,PRJDB17046,GenBank
BS007857,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738333,PRJDB17046,GenBank
BS007858,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738334,PRJDB17046,GenBank
BS007859,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738335,PRJDB17046,GenBank
BS007860,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738336,PRJDB17046,GenBank
BS007861,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738337,PRJDB17046,GenBank
BS007862,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738338,PRJDB17046,GenBank
BS007863,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738339,PRJDB17046,GenBank
BS007864,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738340,PRJDB17046,GenBank
BS007865,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738341,PRJDB17046,GenBank
BS007866,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738342,PRJDB17046,GenBank
BS007867,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738343,PRJDB17046,GenBank
BS007868,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738344,PRJDB17046,GenBank
BS007869,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738345,PRJDB17046,GenBank
BS007870,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738346,PRJDB17046,GenBank
BS007871,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738347,PRJDB17046,GenBank
BS007872,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738348,PRJDB17046,GenBank
BS007873,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738349,PRJDB17046,GenBank
BS007874,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738350,PRJDB17046,GenBank
BS007875,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738351,PRJDB17046,GenBank
BS007876,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738352,PRJDB17046,GenBank
BS007877,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738353,PRJDB17046,GenBank
BS007878,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738354,PRJDB17046,GenBank
BS007879,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738355,PRJDB17046,GenBank
BS007880,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738356,PRJDB17046,GenBank
BS007881,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738357,PRJDB17046,GenBank
BS007882,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738358,PRJDB17046,GenBank
BS007883,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738359,PRJDB17046,GenBank
BS007884,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738360,PRJDB17046,GenBank
BS007885,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738361,PRJDB17046,GenBank
BS007886,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738362,PRJDB17046,GenBank
BS007887,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738363,PRJDB17046,GenBank
BS007888,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738364,PRJDB17046,GenBank
BS007889,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738365,PRJDB17046,GenBank
BS007890,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738366,PRJDB17046,GenBank
BS007891,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738367,PRJDB17046,GenBank
BS007892,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738368,PRJDB17046,GenBank
BS007893,"Center for Clinical Sciences; 1-21-1 Toyama, Shinjuku-ku, Tokyo 162-8655",Japan,SAMD00738369,PRJDB17046,GenBank
PP708573,"Montana Public Health Laboratory AMD Submissions, Whole Genome Sequencing",USA,SAMN41047643,PRJNA767877,GenBank
PP697194,"Washington State Department of Health, Public Health Laboratories",USA,SAMN41012258,PRJNA749781,GenBank
PP697202,"Washington State Department of Health, Public Health Laboratories",USA,SAMN41012250,PRJNA749781,GenBank
PP697205,"Washington State Department of Health, Public Health Laboratories",USA,SAMN41012247,PRJNA749781,GenBank
PP697207,"Washington State Department of Health, Public Health Laboratories",USA,SAMN41012245,PRJNA749781,GenBank
PP697294,"Washington State Department of Health, Public Health Laboratories",USA,SAMN41012158,PRJNA749781,GenBank
PP604921,"NYC DOHMH, Bureau of the Public Health Laboratory",USA,,PRJNA704697,GenBank
PP614208,"NYC DOHMH, Bureau of the Public Health Laboratory",USA,SAMN22979587,PRJNA704697,GenBank
PP614229,"NYC DOHMH, Bureau of the Public Health Laboratory",USA,SAMN22979613,PRJNA704697,GenBank
PP518796,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518928,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518929,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518930,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518931,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518932,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518933,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518934,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518947,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518960,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP518972,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP519009,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP519011,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP519017,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
PP519104,"University of Cape Town, Department of Integrative Biomedical Sciences, Computational Biology Division",South Africa,,,GenBank
